"rentsqm" "yearc" "locat" "bath" "kitchen" "cheating"
8.0604663577462 1918 1 0 0 1
9.83741412901891 1993 1 0 0 1
9.71157469102687 1992 1 0 1 1
8.93836441357226 1956 1 0 0 0
8.62222066272412 1970 1 0 0 1
10.6575914878462 1957 1 0 0 1
8.10774842294719 1918 1 0 0 1
6.53146622955957 1918 1 0 0 1
9.18632101139988 1957.5 1 0 0 1
8.99051309977811 1939 1 0 0 1
7.24174014234093 1937 1 0 0 1
11.6188636498082 1971 1 0 0 1
7.43720964042714 1929 1 0 0 1
10.4129663861944 1972 1 0 0 1
7.74053088861048 1929 1 0 0 1
9.21643947167708 1963 1 0 0 1
10.6376092620535 1991 1 0 0 1
9.93830691085267 1969 1 0 0 1
10.865561187394 1969 1 0 0 1
10.3471424963021 1956 1 0 0 0
8.49720242159991 1939 1 0 0 1
8.17779734699249 1967 1 0 0 1
7.26195713805488 1929 1 0 0 1
8.49668383222221 1958 1 0 0 1
10.3678084127544 1985 1 0 0 1
8.92284977128127 1974 1 0 0 1
8.9743896084144 1957.5 1 0 0 1
9.27244834474686 1939 1 0 0 1
9.77754396627081 1991 1 0 0 1
9.6137407432397 1957.5 1 0 0 1
6.75699887986956 1957 1 0 0 1
9.38049215570451 1956 1 0 0 0
11.5111699726527 1986 1 0 0 1
9.20818206513405 1929 1 0 0 1
8.16105892185401 1973 1 0 0 1
10.4789128611937 1960 1 0 0 1
8.32455116185919 1960 1 0 0 1
10.7718433978201 1979 1 0 1 1
5.6086831082301 1918 1 0 0 1
10.6411061913493 1965 1 1 0 1
10.0098509267169 1967 1 0 0 1
9.28983933491014 1960 1 0 0 1
11.1619940712328 1981 1 0 0 1
7.71877766978171 1918 1 0 0 1
9.32209141222983 1972 1 0 0 1
10.0884690740371 1973 1 0 0 1
9.05225624839846 1971 1 0 0 1
11.7760436519407 1989 2 0 0 1
7.68255975567604 1918 2 0 0 0
8.76965694574817 1956 2 0 0 1
10.4211416193508 1971 2 0 0 1
9.05335208877115 1959 2 0 0 1
7.43711040034027 1918 2 0 0 1
6.7576815308935 1918 2 0 0 0
11.61849574668 1991 2 0 0 1
8.64927584071774 1954 2 0 0 1
10.801807030897 1964 2 0 0 1
8.46607470226112 1957.5 2 0 0 0
10.6856361963032 1957.5 2 1 0 1
8.86170375718871 1924 2 0 0 1
9.73654867466364 1957.5 2 0 0 1
8.67086314175878 1972 2 0 1 1
10.3949339130425 1957.5 2 0 0 1
9.02388720888985 1929 2 0 0 1
8.00127996199669 1918 2 0 0 0
7.40911873105291 1918 2 0 0 1
11.3093245758421 1970 2 0 0 1
11.7242024839664 1972 2 0 0 1
11.156743974442 1980 2 0 0 1
11.8698859576926 1994.5 2 0 0 1
9.36506102166919 1955 2 0 0 1
9.1320192665886 1969 2 0 0 1
6.16583678544125 1918 2 0 0 1
8.50287307821316 1929 2 0 0 0
10.3112968375944 1972 2 0 0 1
8.41132431601714 1959 2 0 0 1
8.05026537402091 1956 2 0 0 1
9.44599615659579 1939 2 0 1 1
7.49649681462681 1939 2 0 0 1
11.3875032070122 1957.5 2 0 0 1
5.14628292339942 1918 2 0 0 0
8.80831349041422 1939 2 0 0 1
8.21867517362909 1959 2 0 0 1
9.54620450380938 1961 2 0 0 1
9.81592729151527 1954 2 0 0 1
8.76783543066434 1968 2 0 0 1
8.69081965127904 1918 2 0 0 1
10.3562588722721 1995 2 0 0 1
10.796902530494 1984 2 0 0 1
8.93725104394065 1939 2 0 0 1
9.25147641964225 1973 2 0 0 1
9.61855034771485 1957.5 2 0 0 1
8.89878206372795 1939 2 0 0 1
10.0329475158655 1963 2 0 0 1
8.80144273736715 1918 2 0 0 0
8.48705612140856 1951 2 0 0 1
9.29520717395196 1957.5 2 0 0 1
10.1436505297249 1957.5 2 0 0 1
10.7825858071141 1961 3 0 0 1
10.9549246876508 1967 3 1 0 1
9.23726639727365 1956 3 0 0 1
10.4362463338916 1970 3 0 0 1
10.8363318322609 1960 3 0 0 1
10.0285746680208 1957.5 3 0 0 0
9.68179149644663 1952 3 0 0 1
10.2635034897952 1969 3 0 0 1
7.38526063931822 1929 3 0 0 1
9.7417266764364 1969 3 0 0 1
9.57258153204873 1976 3 0 0 1
11.4125034625165 1966 3 0 0 1
10.3905519866584 1977 3 0 0 0
12.571140883213 1991 3 1 0 1
10.4077724091326 1967 3 0 0 1
9.38673281509165 1929 3 0 0 1
10.0459015065265 1970 3 0 0 1
9.02743445116979 1984 3 0 0 1
10.8334141651265 1987 3 0 0 1
12.6128653789056 1968 3 1 0 1
